L,scheme,dtype,interp,boundary_mode,oob_policy,value_repr,batch_size,threads_torch,threads_numba,float_accuracy_mean,float_f1_mean,float_roc_auc_mean,float_pr_auc_mean,lut_numpy_accuracy_mean,lut_numpy_f1_mean,lut_numpy_roc_auc_mean,lut_numpy_pr_auc_mean,lut_numba_accuracy_mean,lut_numba_f1_mean,lut_numba_roc_auc_mean,lut_numba_pr_auc_mean,float_ms_per_sample_mean,lut_numpy_ms_per_sample_mean,lut_numba_ms_per_sample_mean,lut_numpy_e2e_ms_per_sample_mean,lut_numba_e2e_ms_per_sample_mean,float_total_bytes_mean,lut_total_bytes_mean,lut_q_table_bytes_mean,lut_scale_bytes_mean,lut_y_min_bytes_mean,lut_knots_bytes_mean,float_accuracy_std,float_f1_std,float_roc_auc_std,float_pr_auc_std,lut_numpy_accuracy_std,lut_numpy_f1_std,lut_numpy_roc_auc_std,lut_numpy_pr_auc_std,lut_numba_accuracy_std,lut_numba_f1_std,lut_numba_roc_auc_std,lut_numba_pr_auc_std,float_ms_per_sample_std,lut_numpy_ms_per_sample_std,lut_numba_ms_per_sample_std,lut_numpy_e2e_ms_per_sample_std,lut_numba_e2e_ms_per_sample_std,float_total_bytes_std,lut_total_bytes_std,lut_q_table_bytes_std,lut_scale_bytes_std,lut_y_min_bytes_std,lut_knots_bytes_std
2,asymmetric,uint8,linear,closed,clip_x,spline_component,1,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9872768581629341,0.9874192306046472,0.9987906963264297,0.9986899189987554,0.9872768581629341,0.9874192306046472,0.9987906963264299,0.9986899188950422,162.58134975992144,7.3692698800936345,0.02654891982674599,178.28169300220907,176.74665299244225,200368.0,199728.0,66528.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.95200139757471,1.42948826413738,0.004639125138661873,33.832774494455094,33.96551865833068,0.0,0.0,0.0,0.0,0.0,0.0
2,asymmetric,uint8,linear,closed,clip_x,spline_component,256,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9872768581629341,0.9874192306046472,0.9987906963264297,0.9986899189987554,0.9872768581629341,0.9874192306046472,0.9987906963264299,0.9986899188950422,0.91342942148367,0.06705156054886174,0.013871819532141672,0.7456611718953354,0.7059740156364569,200368.0,199728.0,66528.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17582091234836172,0.012789015189600727,0.0023182310646837835,0.16770932351572593,0.14234824487245382,0.0,0.0,0.0,0.0,0.0,0.0
2,asymmetric,uint8,linear,closed,zero_spline,spline_component,1,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9872552201666126,0.9873981043668028,0.9987876623717362,0.9986874151208296,0.9872552201666126,0.9873981043668028,0.998787662371736,0.9986874150234953,163.4853001996875,8.319840599782765,0.02752163987606764,182.36546299885958,175.0709689920768,200368.0,199728.0,66528.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.02244507072378,1.9652651421943326,0.0057121671594769705,37.326017926698526,31.437836451208987,0.0,0.0,0.0,0.0,0.0,0.0
2,asymmetric,uint8,linear,closed,zero_spline,spline_component,256,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9872552201666126,0.9873981043668028,0.9987876623717362,0.9986874151208296,0.9872552201666126,0.9873981043668028,0.998787662371736,0.9986874150234953,0.8960977374972572,0.06609031562584278,0.012932056251884205,0.6829375781308045,0.6565672382930643,200368.0,199728.0,66528.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14154661083179165,0.0006980329178341056,0.0001003100337629685,0.018756345164004446,0.008478875699158112,0.0,0.0,0.0,0.0,0.0,0.0
2,asymmetric,uint8,linear,half_open,clip_x,spline_component,1,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9872768581629341,0.9874192306046472,0.9987906963264297,0.998689918666764,0.9872768581629341,0.9874192306046472,0.9987906963264297,0.9986899189700825,159.05414364002644,7.829784880019725,0.030195639841258524,182.1151669882238,176.5158939966932,200368.0,199728.0,66528.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.419817350454004,1.8513936325559779,0.01190147701215563,42.18771712704278,34.6592889949104,0.0,0.0,0.0,0.0,0.0,0.0
2,asymmetric,uint8,linear,half_open,clip_x,spline_component,256,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9872768581629341,0.9874192306046472,0.9987906963264297,0.998689918666764,0.9872768581629341,0.9874192306046472,0.9987906963264297,0.9986899189700825,0.9529829105467797,0.07077901054981339,0.014160180076942197,0.7366943359193101,0.722535921868257,200368.0,199728.0,66528.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26356581908968907,0.02010182123771338,0.0028572174345581234,0.13930340645375372,0.17199260347318768,0.0,0.0,0.0,0.0,0.0,0.0
2,asymmetric,uint8,linear,half_open,zero_spline,spline_component,1,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9872552201666126,0.9873981043668028,0.9987876623717362,0.9986874151208296,0.9872552201666126,0.9873981043668028,0.998787662371736,0.9986874150234953,158.90986692011356,8.105569439940155,0.028957759961485863,187.54558800254017,177.77951299678534,200368.0,199728.0,66528.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.717866582838827,0.9523009781254882,0.00853920120466912,50.767399278014466,36.112429612213845,0.0,0.0,0.0,0.0,0.0,0.0
2,asymmetric,uint8,linear,half_open,zero_spline,spline_component,256,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9872552201666126,0.9873981043668028,0.9987876623717362,0.9986874151208296,0.9872552201666126,0.9873981043668028,0.998787662371736,0.9986874150234953,0.8777543906253413,0.06709443319959973,0.012907703516248148,0.6789313398257946,0.6431467148286174,200368.0,199728.0,66528.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09741715662252538,0.0004494007576399703,5.5515099103097236e-05,0.0017672306948742073,0.003083029097615842,0.0,0.0,0.0,0.0,0.0,0.0
2,symmetric,int8,linear,closed,clip_x,spline_component,1,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9872876771610949,0.9874297940625836,0.9987923795158007,0.9986921577280977,0.9872876771610949,0.9874297940625836,0.9987923795158007,0.9986921565795928,162.69639015998692,7.625726559758187,0.02680192030966282,182.29338799603283,180.7958330027759,200368.0,199728.0,66528.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.04626248617915,1.7291847863952792,0.004065446623239301,38.27022792818935,43.06711135479497,0.0,0.0,0.0,0.0,0.0,0.0
2,symmetric,int8,linear,closed,clip_x,spline_component,256,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9872876771610949,0.9874297940625836,0.9987923795158007,0.9986921577280977,0.9872876771610949,0.9874297940625836,0.9987923795158007,0.9986921565795928,0.9164913460954267,0.06779113359152689,0.01420499804407882,0.734082250019128,0.7080154101640801,200368.0,199728.0,66528.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19422574204092796,0.01575687562766205,0.002698014014222057,0.147468095361414,0.1531618920806122,0.0,0.0,0.0,0.0,0.0,0.0
